well,block,test_temperature,strain,evolution_history,auc_gc,n_obs
d9,2,41,40_C9,40 evolved,0.7531541666666666,97
d9,2,42,40_C9,40 evolved,0.11436302083333333,97
e10,1,25,fRS585,fRS585,0.682434375,97
e10,1,35,fRS585,fRS585,0.9019208333333333,97
e10,1,38,fRS585,fRS585,0.8877916666666665,97
e10,1,41,fRS585,fRS585,0.4965421874999999,97
e10,1,42,fRS585,fRS585,0.11245781249999998,97
e10,2,25,fRS585,fRS585,0.6443343749999999,97
e10,2,35,fRS585,fRS585,0.864961458333333,97
e10,2,38,fRS585,fRS585,0.8948796874999997,97
e10,2,41,fRS585,fRS585,0.6128333333333332,97
e10,2,42,fRS585,fRS585,0.059147395833333324,97
e11,2,25,40_E11,40 evolved,0.6754906250000001,97
e11,2,35,40_E11,40 evolved,0.878634375,97
e11,2,38,40_E11,40 evolved,0.9029109374999997,97
e11,2,41,40_E11,40 evolved,0.7883989583333335,97
e11,2,42,40_E11,40 evolved,0.10570364583333332,97
e11,3,25,40_E7,40 evolved,0.652403125,97
e11,3,35,40_E7,40 evolved,0.8727989583333334,97
e11,3,38,40_E7,40 evolved,0.9148072916666665,97
e11,3,41,40_E7,40 evolved,0.7465552083333332,97
e11,3,42,40_E7,40 evolved,0.11237395833333334,97
e2,1,25,35_B8,35 evolved,0.6701791666666667,97
e2,1,35,35_B8,35 evolved,0.8726625,97
e2,1,38,35_B8,35 evolved,0.9178583333333331,97
e2,1,41,35_B8,35 evolved,0.2843973958333333,97
e2,1,42,35_B8,35 evolved,0.06902239583333332,97
e2,3,25,40_B6,40 evolved,0.6172229166666667,97
e2,3,35,40_B6,40 evolved,0.826115625,97
e2,3,38,40_B6,40 evolved,0.8539468749999999,97
e2,3,41,40_B6,40 evolved,0.6707802083333332,97
e2,3,42,40_B6,40 evolved,0.055749999999999994,97
e3,1,25,35_F4,35 evolved,0.6629833333333336,97
e3,1,35,35_F4,35 evolved,0.8787302083333334,97
e3,1,38,35_F4,35 evolved,0.9039447916666666,97
e3,1,41,35_F4,35 evolved,0.27192239583333333,97
e3,1,42,35_F4,35 evolved,0.11390468749999996,97
e3,2,25,35_C7,35 evolved,0.6577687499999998,97
e3,2,35,35_C7,35 evolved,0.8647114583333335,97
e3,2,38,35_C7,35 evolved,0.9355911458333332,97
e3,2,41,35_C7,35 evolved,0.308628125,97
e3,2,42,35_C7,35 evolved,0.09906302083333332,97
e4,3,25,35_C5,35 evolved,0.6694572916666665,97
e4,3,35,35_C5,35 evolved,0.9073062499999998,97
e4,3,38,35_C5,35 evolved,0.90724375,97
e4,3,41,35_C5,35 evolved,0.24241875,97
e4,3,42,35_C5,35 evolved,0.08796875,97
e5,1,25,40_D4,40 evolved,0.659209375,97
e5,1,35,40_D4,40 evolved,0.8541010416666664,97
e5,1,38,40_D4,40 evolved,0.8270854166666666,97
e5,1,41,40_D4,40 evolved,0.6389265624999998,97
e5,1,42,40_D4,40 evolved,0.1504776041666667,97
e5,3,25,40_G5,40 evolved,0.6206354166666668,97
e5,3,35,40_G5,40 evolved,0.9104187499999997,97
e5,3,38,40_G5,40 evolved,0.9020364583333331,97
e5,3,41,40_G5,40 evolved,0.51709375,97
e5,3,42,40_G5,40 evolved,0.06206875,97
e7,1,25,35_F4,35 evolved,0.6880177083333332,97
e7,1,35,35_F4,35 evolved,0.8881687500000001,97
e7,1,38,35_F4,35 evolved,0.9417520833333334,97
e7,1,41,35_F4,35 evolved,0.36495468749999993,97
e7,1,42,35_F4,35 evolved,0.13911302083333335,97
e8,1,25,35_B8,35 evolved,0.6867145833333335,97
e8,1,35,35_B8,35 evolved,0.8781291666666664,97
e8,1,38,35_B8,35 evolved,0.9173541666666667,97
e8,1,41,35_B8,35 evolved,0.38739427083333333,97
e8,1,42,35_B8,35 evolved,0.11053072916666665,97
e8,2,25,35_C7,35 evolved,0.6622333333333332,97
e8,2,35,35_C7,35 evolved,0.850633333333333,97
e8,2,38,35_C7,35 evolved,0.9215484374999999,97
e8,2,41,35_C7,35 evolved,0.47931041666666657,97
e8,2,42,35_C7,35 evolved,0.09646093750000001,97
e9,1,25,40_D2,40 evolved,0.590102083333333,97
e9,1,35,40_D2,40 evolved,0.8429072916666664,97
e9,1,38,40_D2,40 evolved,0.8784760416666665,97
e9,1,41,40_D2,40 evolved,0.6123494791666666,97
e9,1,42,40_D2,40 evolved,0.3696005208333333,97
e9,2,25,35_B2,35 evolved,0.6694895833333335,97
e9,2,35,35_B2,35 evolved,0.8875281249999999,97
e9,2,38,35_B2,35 evolved,0.9035546874999996,97
e9,2,41,35_B2,35 evolved,0.46891041666666666,97
e9,2,42,35_B2,35 evolved,0.05864739583333332,97
f10,1,25,40_F2,40 evolved,0.6574031250000001,97
f10,1,35,40_F2,40 evolved,0.9700593749999997,97
f10,1,38,40_F2,40 evolved,0.9222489583333331,97
f10,1,41,40_F2,40 evolved,1.0179453125,97
f10,1,42,40_F2,40 evolved,0.2043807291666666,97
f11,1,25,fRS585,fRS585,0.6893270833333331,97
f11,1,35,fRS585,fRS585,0.8871739583333331,97
f11,1,38,fRS585,fRS585,0.8888385416666665,97
f11,1,41,fRS585,fRS585,0.5826901041666666,97
f11,1,42,fRS585,fRS585,0.08485885416666666,97
f11,2,25,35_B2,35 evolved,0.6514322916666667,97
f11,2,35,35_B2,35 evolved,0.8406343749999999,97
f11,2,38,35_B2,35 evolved,0.9218536458333332,97
f11,2,41,35_B2,35 evolved,0.5941156249999999,97
f11,2,42,35_B2,35 evolved,0.06288281249999998,97
f11,3,25,35_F2,35 evolved,0.6407447916666666,97
f11,3,35,35_F2,35 evolved,0.8179760416666664,97
f11,3,38,35_F2,35 evolved,0.9329572916666667,97
f11,3,41,35_F2,35 evolved,0.5493145833333333,97
f11,3,42,35_F2,35 evolved,0.06330312499999999,97
f2,1,25,35_G5,35 evolved,0.6869947916666667,97
f2,1,35,35_G5,35 evolved,0.9020249999999997,97
f2,1,38,35_G5,35 evolved,0.9406468749999997,97
f2,1,41,35_G5,35 evolved,0.22590260416666663,97
f2,1,42,35_G5,35 evolved,0.0712015625,97
f2,2,25,35_F6,35 evolved,0.6686822916666668,97
f2,2,35,35_F6,35 evolved,0.7998031250000003,97
f2,2,38,35_F6,35 evolved,0.8645619791666665,97
f2,2,41,35_F6,35 evolved,0.24520208333333335,97
f2,2,42,35_F6,35 evolved,0.0512171875,97
f2,3,25,40_F6,40 evolved,0.6779822916666668,97
f2,3,35,40_F6,40 evolved,1.0932562500000003,97
f2,3,38,40_F6,40 evolved,0.933309375,97
f2,3,41,40_F6,40 evolved,0.7801770833333335,97
f2,3,42,40_F6,40 evolved,0.07297604166666667,97
f3,1,25,40_D4,40 evolved,0.6551447916666666,97
f3,1,35,40_D4,40 evolved,0.8601749999999998,97
f3,1,38,40_D4,40 evolved,0.9099666666666667,97
f3,1,41,40_D4,40 evolved,0.6986223958333332,97
f3,1,42,40_D4,40 evolved,0.5730244791666667,97
f3,2,25,40_F4,40 evolved,0.6752395833333334,97
f3,2,35,40_F4,40 evolved,0.8985843749999998,97
f3,2,38,40_F4,40 evolved,0.9336526041666664,97
f3,2,41,40_F4,40 evolved,0.7501739583333333,97
f3,2,42,40_F4,40 evolved,0.4882661458333334,97
f3,3,25,35_E7,35 evolved,0.6449635416666665,97
f3,3,35,35_E7,35 evolved,0.8860385416666662,97
f3,3,38,35_E7,35 evolved,0.853316666666667,97
f3,3,41,35_E7,35 evolved,0.4416302083333332,97
f3,3,42,35_E7,35 evolved,0.048502083333333314,97
f4,1,25,35_D4,35 evolved,0.6843604166666667,97
f4,1,35,35_D4,35 evolved,0.8903156249999999,97
f4,1,38,35_D4,35 evolved,0.9002020833333331,97
f4,1,41,35_D4,35 evolved,0.2251807291666666,97
f4,1,42,35_D4,35 evolved,0.08046822916666668,97
f4,2,25,40_G11,40 evolved,0.6830374999999999,97
f4,2,35,40_G11,40 evolved,0.9551354166666668,97
f4,2,38,40_G11,40 evolved,0.9505432291666663,97
f4,2,41,40_G11,40 evolved,0.7873197916666667,97
f4,2,42,40_G11,40 evolved,0.19057656249999994,97
f4,3,25,40_C5,40 evolved,0.6472427083333335,97
f4,3,35,40_C5,40 evolved,0.8446125000000001,97
f4,3,38,40_C5,40 evolved,0.9167020833333329,97
f4,3,41,40_C5,40 evolved,0.696675,97
f4,3,42,40_C5,40 evolved,0.07888645833333337,97
f5,1,25,35_B6,35 evolved,0.6595729166666667,97
f5,1,35,35_B6,35 evolved,0.9341364583333331,97
f5,1,38,35_B6,35 evolved,0.8933395833333335,97
f5,1,41,35_B6,35 evolved,0.17520781249999998,97
f5,1,42,35_B6,35 evolved,0.0694911458333333,97
f5,2,25,40_B2,40 evolved,0.6721822916666663,97
f5,2,35,40_B2,40 evolved,0.9320083333333331,97
f5,2,38,40_B2,40 evolved,0.9342598958333334,97
f5,2,41,40_B2,40 evolved,0.71271875,97
f5,2,42,40_B2,40 evolved,0.23696302083333326,97
f5,3,25,40_D8,40 evolved,0.6326927083333335,97
f5,3,35,40_D8,40 evolved,0.8974239583333334,97
f5,3,38,40_D8,40 evolved,0.8762114583333332,97
f5,3,41,40_D8,40 evolved,0.6456479166666663,97
f5,3,42,40_D8,40 evolved,0.07350520833333332,97
f6,1,25,40_B8,40 evolved,0.6232489583333333,97
f6,1,35,40_B8,40 evolved,0.9023343749999998,97
f6,1,38,40_B8,40 evolved,0.837690625,97
f6,1,41,40_B8,40 evolved,0.6846161458333333,97
f6,1,42,40_B8,40 evolved,0.1638026041666667,97
f7,1,25,40_C7,40 evolved,0.6679927083333332,97
f7,1,35,40_C7,40 evolved,0.8705989583333332,97
f7,1,38,40_C7,40 evolved,0.7597552083333333,97
f7,1,41,40_C7,40 evolved,0.6709317708333332,97
f7,1,42,40_C7,40 evolved,0.13042864583333333,97
f7,2,25,40_F4,40 evolved,0.6753770833333334,97
f7,2,35,40_F4,40 evolved,0.9023385416666667,97
f7,2,38,40_F4,40 evolved,0.9283640624999999,97
f7,2,41,40_F4,40 evolved,0.7866395833333334,97
f7,2,42,40_F4,40 evolved,0.15547031249999996,97
f7,3,25,35_D2,35 evolved,0.6815416666666666,97
f7,3,35,35_D2,35 evolved,0.884433333333333,97
f7,3,38,35_D2,35 evolved,0.9159302083333334,97
f7,3,41,35_D2,35 evolved,0.39532187500000004,97
f7,3,42,35_D2,35 evolved,0.052564583333333324,97
f8,2,25,35_G9,35 evolved,0.6860781249999998,97
f8,2,35,35_G9,35 evolved,0.8761406249999999,97
f8,2,38,35_G9,35 evolved,0.9113078124999999,97
