rep.id,well,block,test_temperature,strain,evolution_history,mu,r2
b9_2_38_fRS585_fRS585,b9,2,38,fRS585,fRS585,7.0135442349257335,0.9976006063478668
c11_2_38_35_C7_35 evolved,c11,2,38,35_C7,35 evolved,7.109973375052384,0.9780388462615365
c2_2_38_40_B2_40 evolved,c2,2,38,40_B2,40 evolved,6.436219737714687,0.9970247781915126
c3_2_38_40_G11_40 evolved,c3,2,38,40_G11,40 evolved,7.191142278428523,0.9969125710625811
c4_2_38_40_E11_40 evolved,c4,2,38,40_E11,40 evolved,6.658437120834618,0.9974751060174286
c5_2_38_40_E9_40 evolved,c5,2,38,40_E9,40 evolved,6.58966856027793,0.9961055657812653
c9_2_38_fRS585_fRS585,c9,2,38,fRS585,fRS585,6.932733441360218,0.9958858006436824
d10_2_38_35_E9_35 evolved,d10,2,38,35_E9,35 evolved,6.8726362278577104,0.9973795509329471
d11_2_38_40_B2_40 evolved,d11,2,38,40_B2,40 evolved,6.489635873151516,0.997020187236935
d2_2_38_40_C9_40 evolved,d2,2,38,40_C9,40 evolved,6.946684551956231,0.996918552261632
d3_2_38_35_D8_35 evolved,d3,2,38,35_D8,35 evolved,6.899705295507493,0.9973952748717333
d4_2_38_35_D8_35 evolved,d4,2,38,35_D8,35 evolved,7.071149292236862,0.9972306081079441
