strain,evolution_history,th_c,se_th,drug,ic50,se_log_ic50,log_ic50,th_c_c,log_ic50_c
35_C9,35 evolved,41.03944948065032,0.07293816117080683,amphotericin,0.32871320214236605,0.1143623825074726,-1.1125696344018843,0.2005624498879115,0.3975692048342052
35_C9,35 evolved,41.03944948065032,0.07293816117080683,caspofungin,0.014744293391178756,0.06498050673558507,-4.2168991597907075,0.2005624498879115,0.007555821098857329
35_C9,35 evolved,41.03944948065032,0.07293816117080683,fluconazole,17.352742359365525,0.0981906666630013,2.853750554961067,0.2005624498879115,0.12442345022407197
35_F4,35 evolved,40.50162585366195,0.17946173069577334,amphotericin,0.14984161739156676,0.06291080068089155,-1.8981764267803827,-0.33726117710045855,-0.3880375875442932
35_F4,35 evolved,40.50162585366195,0.17946173069577334,caspofungin,0.015247640747215624,0.054220627328047895,-4.1833304929974,-0.33726117710045855,0.04112448789216483
35_F4,35 evolved,40.50162585366195,0.17946173069577334,fluconazole,21.207508224934305,0.12294764124401467,3.0543552805310723,-0.33726117710045855,0.32502817579407717
35_D4,35 evolved,40.74893501452868,0.1343415859081204,amphotericin,0.14430463032984497,0.07627630321727186,-1.935828725499214,-0.08995201623372395,-0.42568988626312443
35_D4,35 evolved,40.74893501452868,0.1343415859081204,caspofungin,0.03548328052167359,0.10170869780645161,-3.338693664663009,-0.08995201623372395,0.8857613162265556
35_D4,35 evolved,40.74893501452868,0.1343415859081204,fluconazole,1.9346503076471693,NA,0.659926590587811,-0.08995201623372395,-2.069400514149184
40_D8,40 evolved,41.26277411997188,0.029195232383248407,fluconazole,24.905850817212862,0.0740449989019361,3.215102748447759,-0.15900494870767545,-0.15203243000214428
40_D8,40 evolved,41.26277411997188,0.029195232383248407,caspofungin,0.01869915557035187,0.07989855850223003,-3.9792769128068644,-0.14249102191467955,-0.08466456375781028
40_D8,40 evolved,41.26277411997188,0.029195232383248407,amphotericin,0.9748456847927398,0.03739669631120808,-0.025476092518072126,-0.15900494870767545,-0.12239894859471506
40_F2,40 evolved,41.57818228187159,0.09144436650859213,fluconazole,31.62156046744566,0.04927816482004526,3.453839181210228,0.15640321319203565,0.08670400276032497
40_F2,40 evolved,41.57818228187159,0.09144436650859213,caspofungin,0.022573533004114667,0.0649450002579796,-3.7909771649970256,0.17291713998503155,0.10363518405202843
40_F2,40 evolved,41.57818228187159,0.09144436650859213,amphotericin,1.1529603503972994,0.03745106693951859,0.14233285248860833,0.15640321319203565,0.045409996411965386
35_F2,35 evolved,41.1391034418221,0.03621484002251847,amphotericin,0.1503165503220227,0.05542631373198033,-1.8950118730357952,0.30021641105969366,-0.3848730337997057
35_F2,35 evolved,41.1391034418221,0.03621484002251847,caspofungin,0.01690958785786691,0.045879659883465554,-4.079874489055426,0.30021641105969366,0.14458049183413912
35_F2,35 evolved,41.1391034418221,0.03621484002251847,fluconazole,22.739474731868572,0.08799747485696036,3.124102389193187,0.30021641105969366,0.39477528445619203
40_D4,40 evolved,41.725232227481,0.25110123566993753,fluconazole,22.89811260225102,0.06700811018043615,3.131054488047876,0.30345315880144597,-0.23608069040202695
40_D4,40 evolved,41.725232227481,0.25110123566993753,caspofungin,0.01910428093954866,0.0975714805656537,-3.9578428360829294,0.31996708559444187,-0.06323048703387535
40_D4,40 evolved,41.725232227481,0.25110123566993753,amphotericin,1.204431784528475,0.09559513679297853,0.18600790761969627,0.30345315880144597,0.08908505154305332
40_B8,40 evolved,41.49579236249838,0.09198817495695914,fluconazole,24.311589130064924,0.07127385883015981,3.1909531555895274,0.07401329381882249,-0.17618202286037565
40_B8,40 evolved,41.49579236249838,0.09198817495695914,caspofungin,0.018068036423842172,0.05022958420888563,-4.0136108452607635,0.0905272206118184,-0.11899849621170944
40_B8,40 evolved,41.49579236249838,0.09198817495695914,amphotericin,1.445986064090835,0.037491131455453554,0.368791486131926,0.07401329381882249,0.27186863005528306
35_C5,35 evolved,40.89513069586968,0.18076714626503074,amphotericin,0.28686397119452733,0.07153331162756456,-1.2487471435441546,0.05624366510727441,0.2613916956919349
35_C5,35 evolved,40.89513069586968,0.18076714626503074,caspofungin,0.014204442724733845,0.05355452910152947,-4.254200495368886,0.05624366510727441,-0.0297455144793215
35_C5,35 evolved,40.89513069586968,0.18076714626503074,fluconazole,16.941008512933834,0.09219142769579365,2.829737221863484,0.05624366510727441,0.10041011712648906
40_C9,40 evolved,41.31951516085053,0.029448004182304942,fluconazole,40.12349573474192,0.09014092414470248,3.6919620912705953,-0.10226390782902683,0.3248269128206922
40_C9,40 evolved,41.31951516085053,0.029448004182304942,amphotericin,0.80011399213497,0.15300137305416295,-0.22300107129625707,-0.10226390782902683,-0.3199239273729
40_C9,40 evolved,41.31951516085053,0.029448004182304942,caspofungin,0.021783127570886903,0.06262975440809802,-3.82661957349057,-0.08574998103603093,0.06799277555848393
35_E7,35 evolved,40.97309190014562,0.11311333487266532,amphotericin,0.27949314902110073,0.0527532804285989,-1.2747774982398086,0.1342048693832112,0.23536134099628092
35_E7,35 evolved,40.97309190014562,0.11311333487266532,caspofungin,0.010437726590584612,0.060759655679149954,-4.562328479763239,0.1342048693832112,-0.337873498873674
35_E7,35 evolved,40.97309190014562,0.11311333487266532,fluconazole,15.605042170342793,0.07725606709364449,2.747594078080052,0.1342048693832112,0.018266973343056936
35_G9,35 evolved,40.75341395083575,0.0787309505068783,amphotericin,0.13149509614204788,0.04661529067499514,-2.0287857197551236,-0.08547307992665765,-0.5186468805190341
35_G9,35 evolved,40.75341395083575,0.0787309505068783,caspofungin,0.015073018855056854,0.04362861538087883,-4.1948489642385285,-0.08547307992665765,0.02960601665103635
35_G9,35 evolved,40.75341395083575,0.0787309505068783,fluconazole,18.88818029580909,0.07409089981291181,2.9385363452591005,-0.08547307992665765,0.20920924052210532
35_B6,35 evolved,39.960691391208684,0.18728469325221006,amphotericin,0.259024003013377,0.06501686204612697,-1.3508345458494049,-0.8781956395537236,0.15930429338668461
35_B6,35 evolved,39.960691391208684,0.18728469325221006,caspofungin,0.011218733222073859,0.06260309690203492,-4.490170288820153,-0.8781956395537236,-0.26571530793058784
35_B6,35 evolved,39.960691391208684,0.18728469325221006,fluconazole,15.28069993190644,0.10308215175955,2.726590589751203,-0.8781956395537236,-0.0027365149857923043
35_F6,35 evolved,40.75411458991954,0.11896263519471661,amphotericin,0.13439201158045466,0.03269470639902362,-2.0069942903050015,-0.08477244084286895,-0.49685545106891205
35_F6,35 evolved,40.75411458991954,0.11896263519471661,caspofungin,0.01372506961499327,0.06615098262355901,-4.288531219468749,-0.08477244084286895,-0.06407623857918399
35_F6,35 evolved,40.75411458991954,0.11896263519471661,fluconazole,15.556627754195992,0.09405756853974385,2.744486769953181,-0.08477244084286895,0.015159665216185836
40_F4,40 evolved,41.50438864968589,0.09512509270433325,fluconazole,20.64602322477514,0.07710806733703021,3.027522720947112,0.08260958100633786,-0.339612457502791
40_F4,40 evolved,41.50438864968589,0.09512509270433325,caspofungin,0.016959588036194944,0.0373360189755244,-4.076921939232089,0.09912350779933377,-0.18230959018303494
40_F4,40 evolved,41.50438864968589,0.09512509270433325,amphotericin,2.0128743388066783,0.02714210992178911,0.6995637198739115,0.08260958100633786,0.6026408637972686
