well,block,test_temperature,strain,evolution_history,window_idx,days_start,days_end,mu,r_squared,window_size
b10,1,25,WT_FLZ_2,Fluconazole evolved,53,0.5416666666666666,0.5833333333333334,5.374440757275166,0.999998998226538,5
b10,1,35,WT_FLZ_2,Fluconazole evolved,31,0.3125,0.3541666666666667,9.517463773379795,0.9999468322654326,5
b10,1,38,WT_FLZ_2,Fluconazole evolved,28,0.28125,0.3229166666666667,10.156093265328634,0.999782675920354,5
b10,1,41,WT_FLZ_2,Fluconazole evolved,78,0.8020833333333334,0.84375,3.248584927242962,0.9935908095410191,5
b10,1,42,WT_FLZ_2,Fluconazole evolved,39,0.3958333333333333,0.4375,2.3936545168170222,0.9969005210400415,5
b10,3,25,40_F6,40 evolved,36,0.3645833333333333,0.40625,8.518961845346047,0.9999338528429675,5
b10,3,35,40_F6,40 evolved,22,0.21875,0.2604166666666667,13.263420116808305,0.9999667304734329,5
b10,3,38,40_F6,40 evolved,33,0.3333333333333333,0.375,15.62267822283249,0.8502497165125316,5
b10,3,41,40_F6,40 evolved,29,0.2916666666666667,0.3333333333333333,8.860191939316644,0.9998588485931786,5
b10,3,42,40_F6,40 evolved,23,0.22916666666666663,0.2708333333333333,4.116521972603218,0.9996763882686881,5
b11,1,25,35_G11,35 evolved,36,0.3645833333333333,0.40625,8.360633469640282,0.9999209470929912,5
b11,1,35,35_G11,35 evolved,22,0.21875,0.2604166666666667,12.824040996337466,0.999898831662541,5
b11,1,38,35_G11,35 evolved,22,0.21875,0.2604166666666667,13.763056836764756,0.9999586190807493,5
b11,1,41,35_G11,35 evolved,28,0.28125,0.3229166666666667,7.6005630959889325,0.9997044495677753,5
b11,1,42,35_G11,35 evolved,21,0.20833333333333337,0.25,4.487849883199336,0.9997717563278234,5
b11,2,25,35_D8,35 evolved,37,0.375,0.4166666666666667,8.294832087173278,0.9999874346549588,5
b11,2,35,35_D8,35 evolved,22,0.21875,0.2604166666666667,12.94946548180762,0.9997624476462286,5
b11,2,38,35_D8,35 evolved,22,0.21875,0.2604166666666667,13.895029664998729,0.9997020929813498,5
