population,evolution_history,rep,set,drug,month,ic50,bot,top,slope,converged,ic50_anc,log_ratio
40_D4,40 evolved,Rep1,Set2,caspofungin,January,0.021234441318069,5.903646706184129e-4,0.8087925240644194,10.226413030351361,TRUE,0.029216091852601853,-0.46035705451599185
40_D4,40 evolved,Rep2,Plate2,fluconazole,February,19.632728191967878,0.04433481610146207,0.938293195891419,3.3610096358863926,TRUE,25.37501987539926,-0.3701482866132171
40_D4,40 evolved,Rep2,Set2,amphotericin,January,1.2197043770981686,0,0.9837598793308994,5.705509824514736,TRUE,1.4864912448699976,-0.2853794456600522
40_D4,40 evolved,Rep2,Set2,caspofungin,January,0.018305026572001046,7.702813955468664e-4,0.9328597300454723,17.547278051225668,TRUE,0.01982610951875311,-0.11516173712334332
40_D4,40 evolved,Rep3,Plate2,fluconazole,February,26.82434384041473,0.04850300148649138,0.782813740418298,8.842651846857391,TRUE,13.985027034470253,0.9396598384571884
40_D4,40 evolved,Rep3,Set2,amphotericin,January,1.01324856824419,0.006749998000044401,0.7952285628055561,27.672118698584118,TRUE,1.2329562615471157,-0.2831334850190406
40_D4,40 evolved,Rep3,Set2,caspofungin,January,0.018072573392160715,0,0.8872063307276186,8.046432743175604,TRUE,0.026636431188687797,-0.5595988504586185
40_D8,40 evolved,Rep1,Plate2,fluconazole,February,16.469710604354827,0,0.957038837875152,1.4262320946661025,TRUE,31.271295784971084,-0.925023796149401
40_D8,40 evolved,Rep1,Set2,amphotericin,January,0.9514036863585995,0.013108734135961453,0.9111469559430703,4.5357673652346575,TRUE,1.3753228970719913,-0.5316408526826916
40_D8,40 evolved,Rep1,Set2,caspofungin,January,0.01666116571233194,0,0.8182037578084611,5.28255011001022,TRUE,0.029216091852601853,-0.8102738625427239
40_D8,40 evolved,Rep2,Plate2,fluconazole,February,24.94250206369106,0.04456774894647145,1.0106509758688516,4.532474130233535,TRUE,25.37501987539926,-0.024802758443395412
40_D8,40 evolved,Rep2,Set2,amphotericin,January,0.9378723131475066,0,0.9429760308771844,2.854659341176658,TRUE,1.4864912448699976,-0.6644475409332827
40_D8,40 evolved,Rep2,Set2,caspofungin,January,0.01998510090559044,2.914264838350093e-4,1.0265606079525567,7.768312714398951,TRUE,0.01982610951875311,0.011523251986016447
40_D8,40 evolved,Rep3,Plate2,fluconazole,February,27.311699568705453,0.02777371751303754,0.8748156712635777,5.10800136291053,TRUE,13.985027034470253,0.9656360510907409
40_D8,40 evolved,Rep3,Set2,amphotericin,January,0.062246953644433035,0,1.531427813731363,0.3436280794525122,TRUE,1.2329562615471157,-4.307974577948385
40_D8,40 evolved,Rep3,Set2,caspofungin,January,0.019359779203313714,0,0.9970240015898935,5.448024110411622,TRUE,0.026636431188687797,-0.46033830081501037
40_E11,40 evolved,Rep1,Plate2,fluconazole,February,56.105895118774846,0.08418139562788857,0.8956257672489001,5.391948590371788,TRUE,31.271295784971084,0.8433133633425669
40_E11,40 evolved,Rep1,Set2,amphotericin,January,1.6561666184965993,5.777345764188309e-5,1.0013893723208789,5.946449284935331,TRUE,1.3753228970719913,0.2680774492977337
