time,well,OD,treatment,test_temperature
61667,D9,0.051600001752376556,water,41
61667,D10,0.05079999938607216,water,41
61667,D11,0.05009999871253967,water,41
61667,D12,0.05009999871253967,water,41
61667,E1,0.05180000141263008,water,41
61667,E2,0.049800001084804535,water,41
61667,E3,0.05090000107884407,water,41
61667,E4,0.050599999725818634,water,41
61667,E5,0.05000000074505806,water,41
61667,E6,0.05000000074505806,water,41
61667,E7,0.05090000107884407,water,41
61667,E8,0.05040000006556511,water,41
61667,E9,0.050200000405311584,water,41
61667,E10,0.0494999997317791,water,41
61667,E11,0.05040000006556511,water,41
61667,E12,0.049800001084804535,water,41
61667,F1,0.052000001072883606,water,41
61667,F2,0.050700001418590546,water,41
61667,F3,0.050999999046325684,water,41
61667,F4,0.05130000039935112,water,41
61667,F5,0.050700001418590546,water,41
61667,F6,0.04969999939203262,water,41
61667,F7,0.0494999997317791,water,41
61667,F8,0.05180000141263008,water,41
61667,F9,0.05000000074505806,water,41
61667,F10,0.050700001418590546,water,41
61667,F11,0.051100000739097595,water,41
61667,F12,0.050200000405311584,water,41
61667,G1,0.051600001752376556,water,41
61667,G2,0.05000000074505806,water,41
61667,G3,0.05050000175833702,water,41
61667,G4,0.0502999983727932,water,41
61667,G5,0.04989999905228615,water,41
61667,G6,0.04899999871850014,water,41
61667,G7,0.0494999997317791,water,41
61667,G8,0.05009999871253967,water,41
61667,G9,0.05139999836683273,water,41
61667,G10,0.051600001752376556,water,41
61667,G11,0.04989999905228615,water,41
61667,G12,0.05040000006556511,water,41
61667,H1,0.051899999380111694,water,41
61667,H2,0.05040000006556511,water,41
62645.6,A1,0.10050000250339508,fRS585,41
62645.6,A2,0.094200000166893,fRS585,41
62645.6,A3,0.08950000256299973,fRS585,41
62645.6,A4,0.09109999984502792,fRS585,41
62645.6,A5,0.08839999884366989,fRS585,41
62645.6,A6,0.08669999986886978,fRS585,41
62645.6,A7,0.08739999681711197,fRS585,41
62645.6,A8,0.08990000188350677,fRS585,41
62645.6,A9,0.09019999951124191,fRS585,41
62645.6,A10,0.09830000251531601,fRS585,41
62645.6,A11,0.09690000116825104,fRS585,41
62645.6,A12,0.11969999969005585,fRS585,41
62645.6,B1,0.06750000268220901,blank,41
62645.6,B2,0.06939999759197235,blank,41
62645.6,B3,0.07129999995231628,blank,41
62645.6,B4,0.07000000029802322,blank,41
62645.6,B5,0.07129999995231628,blank,41
62645.6,B6,0.07119999825954437,blank,41
62645.6,B7,0.06809999793767929,blank,41
62645.6,B8,0.06889999657869339,blank,41
62645.6,B9,0.06889999657869339,blank,41
62645.6,B10,0.06639999896287918,blank,41
