well,strain,r,K,t_mid,R2,n_obs,strain.y,test_temperature,block,evolution_history
g7,40_G9,5.783251364136742,0.5778925217181733,0.3961556397076719,0.9981201902617843,97,40_G9,42,1,40 evolved
g8,35_G11,7.689450318678961,0.216,0.10254036608945538,0.8024878631119421,97,35_G11,42,1,35 evolved
g9,35_D4,7.15748852969477,0.172,0.08327743741301386,0.81780511081557306,97,35_D4,42,1,35 evolved
g10,40_G9,5.423358858992202,1.0330081019504507,0.5007102097277182,0.9988776578755248,97,40_G9,42,1,40 evolved
b3,fRS585,4.60970630965242,1.3976894355866734,0.6425942280050226,0.9982696345650073,97,fRS585,41,1,fRS585
b4,WT_CASP_2,12.757202975660974,1.3281328814312634,0.395048265699302,0.992919073906043,97,WT_CASP_2,41,1,Caspofungin evolved
b5,40_D2,10.31630489481161,1.2992217873247067,0.47932655374352573,0.9887365559291655,97,40_D2,41,1,40 evolved
b6,WT_CASP_2,5.89800639423879,1.905,0.44887027177909355,0.7672714115338843,97,WT_CASP_2,41,1,Caspofungin evolved
b8,40_G9,6.780224523785984,1.802,0.37570615570738325,0.769676445417692,97,40_G9,41,1,40 evolved
b10,WT_FLZ_2,3.5616134272461153,1.78,1.0286778395107743,0.9920362973178263,97,WT_FLZ_2,41,1,Fluconazole evolved
b11,35_G11,12.564580786488799,1.344126841578158,0.4081210426675481,0.9926893205029873,97,35_G11,41,1,35 evolved
c2,35_G5,5.266486368278956,1.4311738025750036,0.609516104548742,0.9974895599782448,97,35_G5,41,1,35 evolved
c4,40_C7,10.360251837962215,1.3235847431029635,0.4628051624952213,0.9909930168174892,97,40_C7,41,1,40 evolved
c5,35_G5,2.9274542794583005,1.916,1.0245908474475631,0.9896961902414093,97,35_G5,41,1,35 evolved
c6,35_F4,4.333125086065551,1.4135477039194018,0.696919835700817,0.9950299286988284,97,35_F4,41,1,35 evolved
c7,35_D4,5.8852496219121155,1.3393165117040147,0.5696143878660984,0.9962908780592116,97,35_D4,41,1,35 evolved
c8,40_F2,13.24002316658249,1.4720234003334838,0.4212100185775144,0.9948240608555801,97,40_F2,41,1,40 evolved
c9,40_D4,14.133828355596064,1.3984953718809816,0.4009422275049926,0.9927183799388285,97,40_D4,41,1,40 evolved
c10,35_B8,4.780772460980995,1.599,0.5527101184356712,0.8856177553212421,97,35_B8,41,1,35 evolved
