strain,evolution_history,th_c,se_th,drug,ic50,se_log_ic50,log_ic50
35_F2,35 evolved,41.139103442012015,0.035474900505474874,caspofungin,0.01690958785786691,0.04705968807882197,-4.079874489055426
35_F2,35 evolved,41.139103442012015,0.035474900505474874,fluconazole,22.739474731868572,0.08604877285551497,3.124102389193187
40_D4,40 evolved,41.7252321960886,0.48920973292548775,fluconazole,22.89811260225102,0.07147903794585357,3.131054488047876
40_D4,40 evolved,41.7252321960886,0.48920973292548775,caspofungin,0.01910428093954866,0.10177951068717105,-3.9578428360829294
40_D4,40 evolved,41.7252321960886,0.48920973292548775,amphotericin,1.204431784528475,0.09452385192013563,0.18600790761969627
40_B8,40 evolved,41.495792363166174,0.08526838502085274,fluconazole,24.311589130064924,0.06790621850902177,3.1909531555895274
40_B8,40 evolved,41.495792363166174,0.08526838502085274,caspofungin,0.018068036423842172,0.04911835686703267,-4.0136108452607635
40_B8,40 evolved,41.495792363166174,0.08526838502085274,amphotericin,1.445986064090835,0.0394725674002549,0.368791486131926
35_C5,35 evolved,40.89513071324279,0.1837404986504076,amphotericin,0.28686397119452733,0.07120007706765806,-1.2487471435441546
35_C5,35 evolved,40.89513071324279,0.1837404986504076,caspofungin,0.014204442724733845,0.05524493010153718,-4.254200495368886
35_C5,35 evolved,40.89513071324279,0.1837404986504076,fluconazole,16.941008512933834,0.09175472969360804,2.829737221863484
40_C9,40 evolved,41.31951516139691,0.027920659495192818,fluconazole,40.12349573474192,0.0891053023974526,3.6919620912705953
40_C9,40 evolved,41.31951516139691,0.027920659495192818,amphotericin,0.80011399213497,0.1543596390645031,-0.22300107129625707
40_C9,40 evolved,41.31951516139691,0.027920659495192818,caspofungin,0.021783127570886903,0.06277070576055499,-3.82661957349057
35_E7,35 evolved,40.97309189867303,0.10107021213640557,amphotericin,0.27949314902110073,0.05349315356114537,-1.2747774982398086
35_E7,35 evolved,40.97309189867303,0.10107021213640557,caspofungin,0.010437726590584612,0.06336688306631073,-4.562328479763239
35_E7,35 evolved,40.97309189867303,0.10107021213640557,fluconazole,15.605042170342793,0.07813353532789885,2.747594078080052
35_G9,35 evolved,40.753413945720126,0.0748124565368694,amphotericin,0.13149509614204788,0.0426599180375197,-2.0287857197551236
35_G9,35 evolved,40.753413945720126,0.0748124565368694,caspofungin,0.015073018855056854,0.04473231559377502,-4.1948489642385285
35_G9,35 evolved,40.753413945720126,0.0748124565368694,fluconazole,18.88818029580909,0.07058771613938418,2.9385363452591005
35_B6,35 evolved,39.96069139678576,0.18857961018778566,amphotericin,0.259024003013377,0.06902202796141017,-1.3508345458494049
35_B6,35 evolved,39.96069139678576,0.18857961018778566,caspofungin,0.011218733222073859,0.05934686071511311,-4.490170288820153
35_B6,35 evolved,39.96069139678576,0.18857961018778566,fluconazole,15.28069993190644,0.10809986251674734,2.726590589751203
35_F6,35 evolved,40.754114591365465,0.12567814209320752,amphotericin,0.13439201158045466,0.03158826104269625,-2.0069942903050015
35_F6,35 evolved,40.754114591365465,0.12567814209320752,caspofungin,0.01372506961499327,0.06675371083865315,-4.288531219468749
35_F6,35 evolved,40.754114591365465,0.12567814209320752,fluconazole,15.556627754195992,0.09308791604165202,2.744486769953181
40_F4,40 evolved,41.504388650252565,0.09736805485919392,fluconazole,20.64602322477514,0.0811856566829947,3.027522720947112
40_F4,40 evolved,41.504388650252565,0.09736805485919392,caspofungin,0.016959588036194944,0.036421143026958085,-4.076921939232089
