rep.id,well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
d2_3_25_35_C9_35 evolved,d2,3,25,35,C9,5.170836100417759,gr.sat,0.11587530948082404,0.9776559424401443,73
d5_3_25_35_E7_35 evolved,d5,3,25,35,E7,6.671569838927253,gr.lagsat,0.10635371738137435,0.9949454155478912,60
d6_3_25_35_C9_35 evolved,d6,3,25,35,C9,5.383347873450918,gr.sat,0.11688254626525404,0.9792342929836788,72
d7_3_25_40_D8_40 evolved,d7,3,25,40,D8,6.669711701199931,gr.lagsat,0.10037097694626389,0.9954423076501799,60
e11_3_25_40_E7_40 evolved,e11,3,25,40,E7,6.697710470333976,gr.lagsat,0.10539285447892086,0.995095881241987,60
e2_3_25_40_B6_40 evolved,e2,3,25,40,B6,6.394627354162611,gr.lagsat,0.09317054330518976,0.995640559150579,62
e4_3_25_35_C5_35 evolved,e4,3,25,35,C5,5.210571041453757,gr.sat,0.11483295862182098,0.9777091644737086,73
e5_3_25_40_G5_40 evolved,e5,3,25,40,G5,6.423951901781535,gr.lagsat,0.09201802727467871,0.9958421692413916,62
f11_3_25_35_F2_35 evolved,f11,3,25,35,F2,6.7838613413632975,gr.lagsat,0.11369838748395271,0.9947416158395199,59
f2_3_25_40_F6_40 evolved,f2,3,25,40,F6,6.762124399652387,gr.lagsat,0.11180818092543754,0.9947760484925287,59
f3_3_25_35_E7_35 evolved,f3,3,25,35,E7,5.028786525834551,gr.sat,0.11374485648329118,0.9768359412204891,74
f4_3_25_40_C5_40 evolved,f4,3,25,40,C5,6.377162440403696,gr.lagsat,0.09311782386866974,0.9955742170014579,61
f5_3_25_40_D8_40 evolved,f5,3,25,40,D8,6.5806280030911015,gr.lagsat,0.10020743146468813,0.9953664673993468,61
f7_3_25_35_D2_35 evolved,f7,3,25,35,D2,6.806782700496216,gr.lagsat,0.10800121702189618,0.9949208390907082,59
f8_3_25_40_G5_40 evolved,f8,3,25,40,G5,6.457679367481956,gr.lagsat,0.093899294856691,0.9956363219662399,62
g10_3_25_35_F2_35 evolved,g10,3,25,35,F2,6.858604655776273,gr.lagsat,0.11109773084915839,0.9949773737266927,59
g2_3_25_40_E7_40 evolved,g2,3,25,40,E7,5.253107315046913,gr.sat,0.11749590669758361,0.9776846244158653,73
g3_3_25_35_E7_35 evolved,g3,3,25,35,E7,5.205699641630843,gr.sat,0.11628583061983033,0.977062937790442,73
