well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
c2,1,38,35_G5,35 evolved,10.9255272708406,lagsat,0.14762320267528076,0.9973210282575442,45
c4,1,38,40_C7,40 evolved,NA,lagsat,NA,NA,NA
c5,1,38,35_G5,35 evolved,NA,lagsat,NA,NA,NA
c6,1,38,35_F4,35 evolved,NA,lagsat,NA,NA,NA
c7,1,38,35_D4,35 evolved,NA,lagsat,NA,NA,NA
c8,1,38,40_F2,40 evolved,NA,lagsat,NA,NA,NA
c9,1,38,40_D4,40 evolved,NA,lagsat,NA,NA,NA
c10,1,38,35_B8,35 evolved,NA,lagsat,NA,NA,NA
d2,1,38,40_B8,40 evolved,9.540149350154065,lagsat,0.11929145934164585,0.9973019635879758,48
d4,1,38,40_F2,40 evolved,9.966913125853564,lagsat,0.12650012263008933,0.9973146753955581,47
d5,1,38,40_C7,40 evolved,NA,lagsat,NA,NA,NA
d7,1,38,35_B6,35 evolved,NA,lagsat,NA,NA,NA
d10,1,38,40_B8,40 evolved,NA,lagsat,NA,NA,NA
e2,1,38,35_B8,35 evolved,NA,lagsat,NA,NA,NA
e3,1,38,35_F4,35 evolved,NA,lagsat,NA,NA,NA
e5,1,38,40_D4,40 evolved,11.322446218683572,lagsat,0.15129389666326967,0.9976280909521036,44
e7,1,38,35_F4,35 evolved,NA,lagsat,NA,NA,NA
e8,1,38,35_B8,35 evolved,NA,lagsat,NA,NA,NA
e9,1,38,40_D2,40 evolved,NA,lagsat,NA,NA,NA
f2,1,38,35_G5,35 evolved,NA,lagsat,NA,NA,NA
f3,1,38,40_D4,40 evolved,NA,lagsat,NA,NA,NA
f4,1,38,35_D4,35 evolved,NA,lagsat,NA,NA,NA
f5,1,38,35_B6,35 evolved,NA,lagsat,NA,NA,NA
f6,1,38,40_B8,40 evolved,9.961188062584979,lagsat,0.12005550458790515,0.9976279655425718,46
f7,1,38,40_C7,40 evolved,10.812232102956603,lagsat,0.144341544089191,0.9975818770917404,44
f10,1,38,40_F2,40 evolved,NA,lagsat,NA,NA,NA
g2,1,38,35_G11,35 evolved,NA,lagsat,NA,NA,NA
g4,1,38,35_B6,35 evolved,NA,lagsat,NA,NA,NA
g6,1,38,40_D2,40 evolved,NA,lagsat,NA,NA,NA
g7,1,38,40_G9,40 evolved,NA,lagsat,NA,NA,NA
g8,1,38,35_G11,35 evolved,NA,lagsat,NA,NA,NA
g9,1,38,35_D4,35 evolved,NA,lagsat,NA,NA,NA
g10,1,38,40_G9,40 evolved,NA,lagsat,NA,NA,NA
b2,2,42,35_E9,35 evolved,2.2893264623716307,lagsat,0.10812077981268414,0.9599648746005346,43
b3,2,42,40_E9,40 evolved,NA,lagsat,NA,NA,NA
b4,2,42,40_G11,40 evolved,3.1927215771875375,lagsat,0.04586080353240485,0.9908695196021415,84
b5,2,42,40_E11,40 evolved,2.789294583382972,lagsat,0.037587480307113466,0.9963426929657266,50
b8,2,42,35_B2,35 evolved,2.238183568007249,lagsat,0.09072075520621843,0.9722978722157858,44
b11,2,42,35_D8,35 evolved,2.8577593333525284,lagsat,0.09087729046641253,0.9810386157065625,44
c2,2,42,40_B2,40 evolved,4.533599145971226,lagsat,0.03381980639166506,0.9983807650188751,74
c3,2,42,40_G11,40 evolved,6.499972015055109,lagsat,0.06734071626777137,0.9978908954768032,59
c4,2,42,40_E11,40 evolved,NA,lagsat,NA,NA,NA
c5,2,42,40_E9,40 evolved,2.391578372333301,lagsat,0.0298676106516617,0.9965853882326187,55
c11,2,42,35_C7,35 evolved,3.747165050182847,lagsat,0.0920319243614734,0.981181020647116,45
