population,sheet_name,concentration,OD,drug
40_D8,Plate2_Rep2,32,0.3357999920845032,fluconazole
40_E7,Plate2_Rep2,32,0.48089998960494995,fluconazole
40_E9,Plate2_Rep2,32,0.2892000079154968,fluconazole
40_E11,Plate2_Rep2,32,0.38909998536109924,fluconazole
fRS585,Plate2_Rep2,32,0.430400013923645,fluconazole
Blank,Plate2_Rep2,32,0.057100001722574234,fluconazole
40_D2,Plate2_Rep1,32,0.37070000171661377,fluconazole
40_D4,Plate2_Rep1,32,0.1956000030040741,fluconazole
40_D8,Plate2_Rep1,32,0.2531000077724457,fluconazole
40_E7,Plate2_Rep1,32,0.730400025844574,fluconazole
40_E9,Plate2_Rep1,32,0.1607999950647354,fluconazole
40_E11,Plate2_Rep1,32,0.9214000105857849,fluconazole
fRS585,Plate2_Rep1,32,0.45739999413490295,fluconazole
Blank,Plate2_Rep1,32,0.05779999867081642,fluconazole
40_B2,Plate1_Rep3,32,0.195700004696846,fluconazole
40_B6,Plate1_Rep3,32,0.20890000462532043,fluconazole
40_B8,Plate1_Rep3,32,0.2930999994277954,fluconazole
40_C5,Plate1_Rep3,32,0.3504999876022339,fluconazole
40_C7,Plate1_Rep3,32,0.28619998693466187,fluconazole
40_C9,Plate1_Rep3,32,0.807699978351593,fluconazole
fRS585,Plate1_Rep3,32,0.3986999988555908,fluconazole
Blank,Plate1_Rep3,32,0.05730000138282776,fluconazole
40_B2,Plate1_Rep2,32,0.2535000145435333,fluconazole
40_B6,Plate1_Rep2,32,0.18850000202655792,fluconazole
40_B8,Plate1_Rep2,32,0.3463999927043915,fluconazole
40_C5,Plate1_Rep2,32,0.3799000084400177,fluconazole
40_C7,Plate1_Rep2,32,0.21529999375343323,fluconazole
40_C9,Plate1_Rep2,32,0.5526000261306763,fluconazole
fRS585,Plate1_Rep2,32,0.413100004196167,fluconazole
Blank,Plate1_Rep2,32,0.05689999833703041,fluconazole
40_B2,Plate1_Rep1,32,0.25049999356269836,fluconazole
40_B6,Plate1_Rep1,32,0.4361000061035156,fluconazole
40_B8,Plate1_Rep1,32,0.29440000653266907,fluconazole
40_C5,Plate1_Rep1,32,0.2329999953508377,fluconazole
40_C7,Plate1_Rep1,32,0.18199999630451202,fluconazole
40_C9,Plate1_Rep1,32,0.7504000067710876,fluconazole
fRS585,Plate1_Rep1,32,0.4106999933719635,fluconazole
Blank,Plate1_Rep1,32,0.056699998676776886,fluconazole
40_F2,Plate3_Rep3,16,0.920799970626831,fluconazole
40_F4,Plate3_Rep3,16,0.5511000156402588,fluconazole
40_F6,Plate3_Rep3,16,0.8273000121116638,fluconazole
40_G5,Plate3_Rep3,16,1.0434999465942383,fluconazole
40_G9,Plate3_Rep3,16,1.0140999555587769,fluconazole
40_G11,Plate3_Rep3,16,0.6625999808311462,fluconazole
fRS585,Plate3_Rep3,16,0.3720000088214874,fluconazole
Blank,Plate3_Rep3,16,0.05730000138282776,fluconazole
40_F2,Plate3_Rep2,16,0.9930999875068665,fluconazole
40_F4,Plate3_Rep2,16,0.6194999814033508,fluconazole
40_F6,Plate3_Rep2,16,0.704800009727478,fluconazole
40_G5,Plate3_Rep2,16,1.0490000247955322,fluconazole
40_G9,Plate3_Rep2,16,0.996999979019165,fluconazole
40_G11,Plate3_Rep2,16,0.7612000107765198,fluconazole
fRS585,Plate3_Rep2,16,0.6690999865531921,fluconazole
Blank,Plate3_Rep2,16,0.057500001043081284,fluconazole
40_F2,Plate3_Rep1,16,1.009600043296814,fluconazole
40_F4,Plate3_Rep1,16,1.0967999696731567,fluconazole
40_F6,Plate3_Rep1,16,0.6934000253677368,fluconazole
40_G5,Plate3_Rep1,16,1.059000015258789,fluconazole
40_G9,Plate3_Rep1,16,1.0216000080108643,fluconazole
40_G11,Plate3_Rep1,16,0.8884999752044678,fluconazole
fRS585,Plate3_Rep1,16,0.8540999889373779,fluconazole
Blank,Plate3_Rep1,16,0.05719999969005585,fluconazole
40_D2,Plate2_Rep3,16,0.6614999771118164,fluconazole
40_D4,Plate2_Rep3,16,0.8357999920845032,fluconazole
40_D8,Plate2_Rep3,16,0.8805000185966492,fluconazole
40_E7,Plate2_Rep3,16,0.9320999979972839,fluconazole
40_E9,Plate2_Rep3,16,0.890999972820282,fluconazole
40_E11,Plate2_Rep3,16,1.028499960899353,fluconazole
fRS585,Plate2_Rep3,16,0.40540000796318054,fluconazole
Blank,Plate2_Rep3,16,0.05820000171661377,fluconazole
40_D2,Plate2_Rep2,16,0.7534999847412109,fluconazole
40_D4,Plate2_Rep2,16,0.7182000279426575,fluconazole
40_D8,Plate2_Rep2,16,0.9480000138282776,fluconazole
40_E7,Plate2_Rep2,16,0.8508999943733215,fluconazole
40_E9,Plate2_Rep2,16,0.7480999827384949,fluconazole
40_E11,Plate2_Rep2,16,0.675000011920929,fluconazole
fRS585,Plate2_Rep2,16,0.7232999801635742,fluconazole
Blank,Plate2_Rep2,16,0.05689999833703041,fluconazole
40_D2,Plate2_Rep1,16,0.8579000234603882,fluconazole
40_D4,Plate2_Rep1,16,0.8288999795913696,fluconazole
40_D8,Plate2_Rep1,16,0.6725000143051147,fluconazole
40_E7,Plate2_Rep1,16,0.8187999725341797,fluconazole
40_E9,Plate2_Rep1,16,0.9556999802589417,fluconazole
40_E11,Plate2_Rep1,16,1.1811000108718872,fluconazole
fRS585,Plate2_Rep1,16,1.089400053024292,fluconazole
Blank,Plate2_Rep1,16,0.05770000070333481,fluconazole
40_B2,Plate1_Rep3,16,0.8622999787330627,fluconazole
40_B6,Plate1_Rep3,16,0.7002000212669373,fluconazole
40_B8,Plate1_Rep3,16,0.7491000294685364,fluconazole
40_C5,Plate1_Rep3,16,0.8604999780654907,fluconazole
40_C7,Plate1_Rep3,16,0.833899974822998,fluconazole
40_C9,Plate1_Rep3,16,1.0053000450134277,fluconazole
fRS585,Plate1_Rep3,16,0.9153000116348267,fluconazole
Blank,Plate1_Rep3,16,0.05700000002980232,fluconazole
40_B2,Plate1_Rep2,16,0.6187000274658203,fluconazole
40_B6,Plate1_Rep2,16,0.8895999789237976,fluconazole
40_B8,Plate1_Rep2,16,0.968999981880188,fluconazole
40_C5,Plate1_Rep2,16,0.9506999850273132,fluconazole
40_C7,Plate1_Rep2,16,0.7972000241279602,fluconazole
40_C9,Plate1_Rep2,16,0.8201000094413757,fluconazole
fRS585,Plate1_Rep2,16,0.7990000247955322,fluconazole
Blank,Plate1_Rep2,16,0.05640000104904175,fluconazole
40_B2,Plate1_Rep1,16,0.7642999887466431,fluconazole
40_B6,Plate1_Rep1,16,0.8715999722480774,fluconazole
40_B8,Plate1_Rep1,16,0.9075000286102295,fluconazole
40_C5,Plate1_Rep1,16,0.9041000008583069,fluconazole
40_C7,Plate1_Rep1,16,0.9226999878883362,fluconazole
40_C9,Plate1_Rep1,16,0.8241999745368958,fluconazole
fRS585,Plate1_Rep1,16,0.9527000188827515,fluconazole
Blank,Plate1_Rep1,16,0.05640000104904175,fluconazole
40_F2,Plate3_Rep3,8,0.9462000131607056,fluconazole
40_F4,Plate3_Rep3,8,0.9067999720573425,fluconazole
40_F6,Plate3_Rep3,8,0.9905999898910522,fluconazole
