population,sheet_name,concentration,OD
Blank,Plate1_Rep2,8,0.05649999901652336
40_B2,Plate1_Rep1,8,0.9462000131607056
40_B6,Plate1_Rep1,8,1.0532000064849854
40_B8,Plate1_Rep1,8,1.0664000511169434
40_C5,Plate1_Rep1,8,0.8432999849319458
40_C7,Plate1_Rep1,8,0.8711000084877014
40_C9,Plate1_Rep1,8,0.9128999710083008
fRS585,Plate1_Rep1,8,1.001099944114685
Blank,Plate1_Rep1,8,0.05640000104904175
40_F2,Plate3_Rep3,4,0.8532000184059143
40_F4,Plate3_Rep3,4,1.082200050354004
40_F6,Plate3_Rep3,4,1.006600022315979
40_G5,Plate3_Rep3,4,0.9819999933242798
40_G9,Plate3_Rep3,4,1.1993999481201172
40_G11,Plate3_Rep3,4,1.0902999639511108
fRS585,Plate3_Rep3,4,0.641700029373169
Blank,Plate3_Rep3,4,0.05790000036358833
40_F2,Plate3_Rep2,4,0.8064000010490417
40_F4,Plate3_Rep2,4,1.062000036239624
40_F6,Plate3_Rep2,4,0.7782999873161316
40_G5,Plate3_Rep2,4,0.8715000152587891
40_G9,Plate3_Rep2,4,1.1223000288009644
40_G11,Plate3_Rep2,4,1.0099999904632568
fRS585,Plate3_Rep2,4,0.7943999767303467
Blank,Plate3_Rep2,4,0.05810000002384186
40_F2,Plate3_Rep1,4,0.9927999973297119
40_F4,Plate3_Rep1,4,1.157099962234497
40_F6,Plate3_Rep1,4,1.0442999601364136
40_G5,Plate3_Rep1,4,0.8680999875068665
40_G9,Plate3_Rep1,4,1.1396000385284424
40_G11,Plate3_Rep1,4,1.2446999549865723
fRS585,Plate3_Rep1,4,1.0211999416351318
Blank,Plate3_Rep1,4,0.057100001722574234
40_D2,Plate2_Rep3,4,0.68470001220703125
40_D4,Plate2_Rep3,4,0.882099986076355
40_D8,Plate2_Rep3,4,0.9878000020980835
40_E7,Plate2_Rep3,4,1.0439000129699707
40_E9,Plate2_Rep3,4,1.0428999662399292
40_E11,Plate2_Rep3,4,1.087399959564209
fRS585,Plate2_Rep3,4,0.6660000085830688
Blank,Plate2_Rep3,4,0.05900000035762787
40_D2,Plate2_Rep2,4,0.7336000204086304
40_D4,Plate2_Rep2,4,1.0666999816894531
40_D8,Plate2_Rep2,4,1.1431000232696533
