population,concentration,OD,sheet_name,set,rep,month,drug
40_D2,4,0.68470001220703125,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,2,0.7860999703407288,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,1,0.9021000266075134,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,0.5,0.6776999831199646,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D2,0,0.7846999764442444,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,512,0.07620000094175339,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,256,0.08950000256299973,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,128,0.10790000110864639,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,64,0.15360000729560852,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,32,0.23409999907016754,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,16,0.8357999920845032,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,8,0.7926999926567078,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,4,0.882099986076355,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,2,0.6610999703407288,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,1,0.8974999785423279,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,0.5,0.9253000020980835,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D4,0,0.8858000040054321,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D8,512,0.07699999958276749,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D8,256,0.08479999750852585,Plate2_Rep3,Plate2,Rep3,February,fluconazole
40_D8,128,0.08349999785423279,Plate2_Rep3,Plate2,Rep3,February,fluconazole
