population,evolution_history,drug,ic50,se_ic50,se_log_ic50,ic50_lower,ic50_upper,n_data,n_boot_ok,n_total_iter
40_G5,40 evolved,caspofungin,0.02048540098349012,0.0023641712444246897,0.11430791771471173,0.01657944512531389,0.025721732909264213,36,1000,1089
40_F2,40 evolved,amphotericin,1.1529603503972994,0.0429150730049021,0.03745106693951859,1.065757477043427,1.2333244440600435,36,1000,1002
40_F4,40 evolved,amphotericin,2.0128743388066783,0.0546016233783144,0.02714210992178911,1.8949475516303813,2.1300687839120624,36,1000,1108
40_G5,40 evolved,amphotericin,1.3240402942674991,0.09429655338618584,0.07312003077724614,1.073130387207421,1.4747205369928662,36,1000,1006
40_D2,40 evolved,amphotericin,0.9191505959765579,0.08922234561613056,0.09784522089899186,0.7398483508560744,1.0974728761659376,36,1000,1005
40_D4,40 evolved,amphotericin,1.204431784528475,0.11555584276690777,0.09559513679297853,1.028247623315163,1.4179676321214685,36,1000,1052
40_D8,40 evolved,amphotericin,0.9748456847927398,0.036242897107815766,0.03739669631120808,0.8993724055928186,1.0417423333834017,36,1000,1015
40_E9,40 evolved,amphotericin,1.436407306650905,0.07804978203009612,0.05416442166863483,1.2904659534166565,1.5977169717956496,36,1000,1000
40_B2,40 evolved,amphotericin,1.9221751561678921,0.10528318687809711,0.05851176559203009,1.6251670541954353,1.945272478365749,36,1000,1523
40_B6,40 evolved,amphotericin,0.7578545569985584,0.050981974160577086,0.06713954979848595,0.6678544419800218,0.8623337319575094,36,1000,1000
40_B8,40 evolved,amphotericin,1.445986064090835,0.05377615097343332,0.037491131455453554,1.3293893360332854,1.5408784553769552,36,1000,1000
40_C5,40 evolved,amphotericin,1.7530251963003252,0.07809965372151642,0.044490213107811614,1.6018192399192899,1.9231502146026052,36,1000,1000
40_C7,40 evolved,amphotericin,0.8095307383238656,0.07435052730527192,0.09098118166928118,0.6829038246638874,0.975991672555807,36,1000,1000
